perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
blur_sigma2,0.5179505535224795,0.5451412413317568,6,6,0,0.8217069506645203,0.8403929471969604,BSMBT2.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8217069506645203
shift_5px,0.8429315365890433,0.7105158503812428,6,6,0,0.8217069506645203,0.8155824542045593,BSMBT2.jpg,efficientnet_b2,6,Bioturbated sandy media,0.8217069506645203
bright_plus10,0.9797267480654985,0.9993062997038188,5,5,0,0.3684588074684143,0.4074437618255615,CBBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.3684588074684143
bright_minus10,0.9904510390012515,0.9995145778645907,5,2,1,0.3684588074684143,0.328525185585022,CBBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.3684588074684143
noise_sigma6,0.40080398208817847,0.5991804106179092,5,2,1,0.3684588074684143,0.032464154064655304,CBBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.3684588074684143
blur_sigma2,0.7277023083130081,0.9618214794202172,5,3,1,0.3684588074684143,0.006855829153209925,CBBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.3684588074684143
shift_5px,0.12309407966662869,-0.3369958800782448,5,2,1,0.3684588074684143,0.001318040187470615,CBBT1.jpg,efficientnet_b2,5,Bioturbated muddy media,0.3684588074684143
bright_plus10,0.9857736655898431,0.9988088825564894,1,1,0,0.5366169214248657,0.6234447360038757,CBBT2.jpg,efficientnet_b2,1,Cross bedding,0.5366169214248657
bright_minus10,0.9879002319861292,0.9981464003894757,1,4,1,0.5366169214248657,0.4442278742790222,CBBT2.jpg,efficientnet_b2,1,Cross bedding,0.5366169214248657
noise_sigma6,0.875235749952142,0.9619248498875487,1,1,0,0.5366169214248657,0.6406667828559875,CBBT2.jpg,efficientnet_b2,1,Cross bedding,0.5366169214248657
blur_sigma2,0.8152066584760849,0.9512872313783685,1,1,0,0.5366169214248657,0.7540774345397949,CBBT2.jpg,efficientnet_b2,1,Cross bedding,0.5366169214248657
shift_5px,0.609428595504629,0.8429945356024201,1,4,1,0.5366169214248657,0.11042216420173645,CBBT2.jpg,efficientnet_b2,1,Cross bedding,0.5366169214248657
bright_plus10,0.9974150354776827,0.9994027910656974,1,1,0,0.9159942865371704,0.9232680797576904,CBBT3.jpg,efficientnet_b2,1,Cross bedding,0.9159942865371704
bright_minus10,0.997177833512359,0.9994599408121794,1,1,0,0.9159942865371704,0.9072051644325256,CBBT3.jpg,efficientnet_b2,1,Cross bedding,0.9159942865371704
noise_sigma6,0.6703247220493576,0.801191175670869,1,8,1,0.9159942865371704,0.08403287827968597,CBBT3.jpg,efficientnet_b2,1,Cross bedding,0.9159942865371704
blur_sigma2,0.6876421238390348,0.8253992075139793,1,3,1,0.9159942865371704,0.13658727705478668,CBBT3.jpg,efficientnet_b2,1,Cross bedding,0.9159942865371704
shift_5px,0.721592216887688,0.8090292052155295,1,3,1,0.9159942865371704,0.23934999108314514,CBBT3.jpg,efficientnet_b2,1,Cross bedding,0.9159942865371704
bright_plus10,0.9927992256763216,0.9988638637168836,1,1,0,0.9592662453651428,0.9586158990859985,CBBT4.png,efficientnet_b2,1,Cross bedding,0.9592662453651428
bright_minus10,0.9849116687177132,0.9986184480353231,1,1,0,0.9592662453651428,0.9599514603614807,CBBT4.png,efficientnet_b2,1,Cross bedding,0.9592662453651428
noise_sigma6,0.9180695974218557,0.9698048212862341,1,1,0,0.9592662453651428,0.9655736088752747,CBBT4.png,efficientnet_b2,1,Cross bedding,0.9592662453651428
blur_sigma2,0.7177096437305643,0.7996380516825984,1,1,0,0.9592662453651428,0.956710934638977,CBBT4.png,efficientnet_b2,1,Cross bedding,0.9592662453651428
shift_5px,0.7745218220398967,0.8972542151879757,1,1,0,0.9592662453651428,0.952379047870636,CBBT4.png,efficientnet_b2,1,Cross bedding,0.9592662453651428
bright_plus10,0.991547215634319,0.9973242205534645,8,8,0,0.6683616042137146,0.6216350197792053,CongBT1.jpg,efficientnet_b2,8,Massive sandstone,0.6683616042137146
bright_minus10,0.977402800555362,0.9903484875381188,8,8,0,0.6683616042137146,0.6730258464813232,CongBT1.jpg,efficientnet_b2,8,Massive sandstone,0.6683616042137146
noise_sigma6,0.9746577235539347,0.9921710833189682,8,8,0,0.6683616042137146,0.633424699306488,CongBT1.jpg,efficientnet_b2,8,Massive sandstone,0.6683616042137146
blur_sigma2,0.7119941715798533,0.8729703075585817,8,8,0,0.6683616042137146,0.33989813923835754,CongBT1.jpg,efficientnet_b2,8,Massive sandstone,0.6683616042137146
shift_5px,0.6349824471604665,0.8023059327561034,8,8,0,0.6683616042137146,0.3768424689769745,CongBT1.jpg,efficientnet_b2,8,Massive sandstone,0.6683616042137146
bright_plus10,0.9866608287444592,0.9955600799941818,8,8,0,0.5314461588859558,0.3991660177707672,CongBT3.jpg,efficientnet_b2,8,Massive sandstone,0.5314461588859558
bright_minus10,0.9773645713116715,0.9921433421943457,8,0,1,0.5314461588859558,0.304997056722641,CongBT3.jpg,efficientnet_b2,8,Massive sandstone,0.5314461588859558
noise_sigma6,0.9748943013662463,0.9895916450433946,8,0,1,0.5314461588859558,0.3017716407775879,CongBT3.jpg,efficientnet_b2,8,Massive sandstone,0.5314461588859558
blur_sigma2,0.5717234216810858,0.4627070111086058,8,0,1,0.5314461588859558,0.006964288651943207,CongBT3.jpg,efficientnet_b2,8,Massive sandstone,0.5314461588859558
shift_5px,0.6268658626438911,0.807552022100196,8,0,1,0.5314461588859558,0.07380951941013336,CongBT3.jpg,efficientnet_b2,8,Massive sandstone,0.5314461588859558
bright_plus10,0.9767215316407348,0.9844000794320361,0,0,0,0.9206053018569946,0.9257263541221619,CongBT4.jpg,efficientnet_b2,0,Conglomerate,0.9206053018569946
bright_minus10,0.9906677933024614,0.9930419051278442,0,0,0,0.9206053018569946,0.9201719760894775,CongBT4.jpg,efficientnet_b2,0,Conglomerate,0.9206053018569946
noise_sigma6,0.9769661172982388,0.9811930244992588,0,0,0,0.9206053018569946,0.9326961040496826,CongBT4.jpg,efficientnet_b2,0,Conglomerate,0.9206053018569946
blur_sigma2,0.7815850770633781,0.8704218644431791,0,0,0,0.9206053018569946,0.947095513343811,CongBT4.jpg,efficientnet_b2,0,Conglomerate,0.9206053018569946
