perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
blur_sigma2,0.84508829382969,0.9854494205151272,0,0,0,0.8318764567375183,0.8985974192619324,CongBT3.jpg,resnet50,0,Conglomerate,0.8318764567375183
shift_5px,0.4668250908662473,0.49346446343329403,0,8,1,0.8318764567375183,0.3650495409965515,CongBT3.jpg,resnet50,0,Conglomerate,0.8318764567375183
bright_plus10,0.9882789721641765,0.9983149302576797,0,0,0,0.9211968183517456,0.9199771285057068,CongBT4.jpg,resnet50,0,Conglomerate,0.9211968183517456
bright_minus10,0.9748139063067413,0.9973953159469103,0,0,0,0.9211968183517456,0.9209872484207153,CongBT4.jpg,resnet50,0,Conglomerate,0.9211968183517456
noise_sigma6,0.9751439325040503,0.9909390971125592,0,0,0,0.9211968183517456,0.9296124577522278,CongBT4.jpg,resnet50,0,Conglomerate,0.9211968183517456
blur_sigma2,0.6871278488710236,0.8718749080154786,0,0,0,0.9211968183517456,0.9552600979804993,CongBT4.jpg,resnet50,0,Conglomerate,0.9211968183517456
shift_5px,0.6586722831671935,0.8433108122928242,0,0,0,0.9211968183517456,0.9353461265563965,CongBT4.jpg,resnet50,0,Conglomerate,0.9211968183517456
bright_plus10,0.6368865966254041,0.8632052894838305,0,0,0,0.942278265953064,0.6613014936447144,CongBT5.jpg,resnet50,0,Conglomerate,0.942278265953064
bright_minus10,0.8677100845894076,0.9480434408488185,0,0,0,0.942278265953064,0.8839210867881775,CongBT5.jpg,resnet50,0,Conglomerate,0.942278265953064
noise_sigma6,0.9459877011538876,0.9862721612746501,0,0,0,0.942278265953064,0.9143843650817871,CongBT5.jpg,resnet50,0,Conglomerate,0.942278265953064
blur_sigma2,0.7037776437134253,0.8263346340315351,0,0,0,0.942278265953064,0.9020180106163025,CongBT5.jpg,resnet50,0,Conglomerate,0.942278265953064
shift_5px,0.8109286855630324,0.905083820199057,0,0,0,0.942278265953064,0.9365572929382324,CongBT5.jpg,resnet50,0,Conglomerate,0.942278265953064
bright_plus10,0.9758928976617531,0.9931690436060983,0,0,0,0.7685800790786743,0.8054203391075134,ConglBT2.jpg,resnet50,0,Conglomerate,0.7685800790786743
bright_minus10,0.9513665694082117,0.9908301114735358,0,0,0,0.7685800790786743,0.7720412015914917,ConglBT2.jpg,resnet50,0,Conglomerate,0.7685800790786743
noise_sigma6,0.9437158356979835,0.9766959940199265,0,0,0,0.7685800790786743,0.6462416052818298,ConglBT2.jpg,resnet50,0,Conglomerate,0.7685800790786743
blur_sigma2,0.8468887035994179,0.9417402394819575,0,0,0,0.7685800790786743,0.7722086906433105,ConglBT2.jpg,resnet50,0,Conglomerate,0.7685800790786743
shift_5px,0.7865734422011411,0.9467886768607385,0,8,1,0.7685800790786743,0.14691372215747833,ConglBT2.jpg,resnet50,0,Conglomerate,0.7685800790786743
bright_plus10,0.9719620858975286,0.9982822333878938,1,1,0,0.6845055222511292,0.43768519163131714,LABT1.jpg,resnet50,1,Cross bedding,0.6845055222511292
bright_minus10,0.980843221858569,0.9989707458214618,1,1,0,0.6845055222511292,0.7571920156478882,LABT1.jpg,resnet50,1,Cross bedding,0.6845055222511292
noise_sigma6,0.945878424714881,0.9901155757299775,1,1,0,0.6845055222511292,0.9238547682762146,LABT1.jpg,resnet50,1,Cross bedding,0.6845055222511292
blur_sigma2,0.714792565009844,0.9070316443599243,1,3,1,0.6845055222511292,0.02057594247162342,LABT1.jpg,resnet50,1,Cross bedding,0.6845055222511292
shift_5px,0.8084400261634491,0.9730868082932627,1,3,1,0.6845055222511292,0.03673427551984787,LABT1.jpg,resnet50,1,Cross bedding,0.6845055222511292
bright_plus10,0.9935855329796759,0.9986257854071707,1,1,0,0.7105754017829895,0.705651044845581,LABT2.jpg,resnet50,1,Cross bedding,0.7105754017829895
bright_minus10,0.9849648876025534,0.9962166939864051,1,1,0,0.7105754017829895,0.45547714829444885,LABT2.jpg,resnet50,1,Cross bedding,0.7105754017829895
