perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
bright_plus10,0.9969536517191371,0.9989806961939336,6,6,0,0.7226814031600952,0.7468292117118835,BMMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.7226814031600952
bright_minus10,0.9979314042012124,0.9992967582055998,6,6,0,0.7226814031600952,0.7195181250572205,BMMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.7226814031600952
noise_sigma6,0.9828656329712616,0.991911187042855,6,6,0,0.7226814031600952,0.6619163751602173,BMMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.7226814031600952
blur_sigma2,0.7735750145750686,0.9226528741883132,6,6,0,0.7226814031600952,0.8490709662437439,BMMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.7226814031600952
shift_5px,0.7761478105126031,0.8943734927678505,6,6,0,0.7226814031600952,0.6980803608894348,BMMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.7226814031600952
bright_plus10,0.9798942377506888,0.9994497776672228,5,5,0,0.749811053276062,0.7464430928230286,BMMBT2.jpg,mobilenet_v3,5,Bioturbated muddy media,0.749811053276062
bright_minus10,0.9884721843633786,0.9997040427073209,5,5,0,0.749811053276062,0.7551654577255249,BMMBT2.jpg,mobilenet_v3,5,Bioturbated muddy media,0.749811053276062
noise_sigma6,0.9528321159374326,0.9950566538873821,5,5,0,0.749811053276062,0.7437921166419983,BMMBT2.jpg,mobilenet_v3,5,Bioturbated muddy media,0.749811053276062
blur_sigma2,0.7449892954516517,0.9471779183872273,5,1,1,0.749811053276062,0.12865006923675537,BMMBT2.jpg,mobilenet_v3,5,Bioturbated muddy media,0.749811053276062
shift_5px,0.795086693506074,0.9619097170064294,5,5,0,0.749811053276062,0.6856359243392944,BMMBT2.jpg,mobilenet_v3,5,Bioturbated muddy media,0.749811053276062
bright_plus10,0.9976195742356316,0.99968337642613,6,6,0,0.8732154369354248,0.8793821930885315,BSMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8732154369354248
bright_minus10,0.9942486858881641,0.9997534271963665,6,6,0,0.8732154369354248,0.8634902238845825,BSMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8732154369354248
noise_sigma6,0.965843530059646,0.9957577614610129,6,6,0,0.8732154369354248,0.8637310862541199,BSMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8732154369354248
blur_sigma2,0.8445782442899749,0.9767938590700112,6,6,0,0.8732154369354248,0.8701683282852173,BSMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8732154369354248
shift_5px,0.8545802436940991,0.9828482433719586,6,6,0,0.8732154369354248,0.850665807723999,BSMBT1.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8732154369354248
bright_plus10,0.9991887032461432,0.9998548396102703,6,6,0,0.8503875732421875,0.8508169651031494,BSMBT2.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8503875732421875
bright_minus10,0.9991593970066268,0.9998099205379531,6,6,0,0.8503875732421875,0.8517650365829468,BSMBT2.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8503875732421875
noise_sigma6,0.9851252281894568,0.997804307450729,6,6,0,0.8503875732421875,0.8641339540481567,BSMBT2.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8503875732421875
blur_sigma2,0.8947831676609287,0.9806511628604334,6,6,0,0.8503875732421875,0.8526005148887634,BSMBT2.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8503875732421875
shift_5px,0.7042011154247235,0.939634353293984,6,6,0,0.8503875732421875,0.8567601442337036,BSMBT2.jpg,mobilenet_v3,6,Bioturbated sandy media,0.8503875732421875
bright_plus10,0.7772305846526885,0.9723281381050467,2,2,0,0.9221034049987793,0.9213253259658813,CBBT1.jpg,mobilenet_v3,2,Lenticular bedding,0.9221034049987793
bright_minus10,0.9744808770413301,0.9987625685080811,2,2,0,0.9221034049987793,0.9229231476783752,CBBT1.jpg,mobilenet_v3,2,Lenticular bedding,0.9221034049987793
noise_sigma6,0.9424029685490729,0.9854802168324462,2,2,0,0.9221034049987793,0.8988797068595886,CBBT1.jpg,mobilenet_v3,2,Lenticular bedding,0.9221034049987793
blur_sigma2,0.4286728056203578,0.822476575224557,2,3,1,0.9221034049987793,0.024488046765327454,CBBT1.jpg,mobilenet_v3,2,Lenticular bedding,0.9221034049987793
shift_5px,0.7232675602923827,0.9184851872129859,2,2,0,0.9221034049987793,0.9584367275238037,CBBT1.jpg,mobilenet_v3,2,Lenticular bedding,0.9221034049987793
bright_plus10,0.9943861054376805,0.9995507974444173,1,1,0,0.8923547267913818,0.8835746049880981,CBBT2.jpg,mobilenet_v3,1,Cross bedding,0.8923547267913818
bright_minus10,0.994157425809033,0.9996238385558877,1,1,0,0.8923547267913818,0.8988981246948242,CBBT2.jpg,mobilenet_v3,1,Cross bedding,0.8923547267913818
noise_sigma6,0.9187439357801205,0.9876934178973918,1,1,0,0.8923547267913818,0.853672981262207,CBBT2.jpg,mobilenet_v3,1,Cross bedding,0.8923547267913818
blur_sigma2,0.8253153926572108,0.9574016364660681,1,1,0,0.8923547267913818,0.8958735466003418,CBBT2.jpg,mobilenet_v3,1,Cross bedding,0.8923547267913818
shift_5px,0.7915785532691166,0.9063975381972306,1,4,1,0.8923547267913818,0.3235407769680023,CBBT2.jpg,mobilenet_v3,1,Cross bedding,0.8923547267913818
